cluster,size,avg_trip_days,avg_miles,avg_receipts,avg_output,model_mae,common_trip_days
0,276,7.77536231884058,247.44608695652173,656.0981884057971,1012.2908333333334,167.89041420253622,5
1,50,1.02,757.7,1622.6807999999999,1258.3578000000002,112.30654529000002,1
2,294,10.462585034013605,732.4285714285714,1825.5535034013606,1789.2326530612245,180.019631322449,12
3,172,3.395348837209302,559.9286627906977,1732.39011627907,1404.452848837209,161.87784212500003,5
4,1,3.0,93.0,1.42,364.51,193.82799999999997,3
5,207,5.714975845410628,867.1443961352658,551.4709178743962,1153.8119323671494,166.57815429903386,5
