cluster_id,name,size,trip_days_mean,trip_days_mode,miles_mean,receipts_mean,output_mean,mae,contains_special_profile
0,Standard Multi-Day (5-12 days),276,7.77536231884058,5,247.44608695652173,656.0981884057971,1012.2908333333334,167.89041420253622,False
1,Single Day High Miles,50,1.02,1,757.7,1622.6807999999999,1258.3578000000002,112.30654529000002,False
2,Long Trip High Receipts,294,10.462585034013605,12,732.4285714285714,1825.5535034013606,1789.2326530612245,180.019631322449,False
3,Short Trip (3-5 days),172,3.395348837209302,5,559.9286627906977,1732.39011627907,1404.452848837209,161.87784212499997,False
4,Outlier (Low Receipt),1,3.0,3,93.0,1.42,364.51,193.82799999999995,False
5,Medium Trip High Miles,207,5.714975845410628,5,867.1443961352658,551.4709178743962,1153.8119323671494,166.57815429903386,True
